run,condition,t_start,t_end,screen_side,timing
1,baseline,0,20,,0
1,in-time_begin,20,34,-1,0
1,out-time_begin,34,48,1,0
1,out-time_begin,48,62,1,0
1,out-time_late,62,76,-1,0
1,in-time_begin,76,90,-1,0
1,out-time_late,90,104,1,0
1,in-time_late,104,118,1,0
1,in-time_late,118,132,-1,0
1,out-time_begin,132,146,-1,0
1,in-time_begin,146,160,1,0
1,in-time_begin,160,174,-1,0
1,blinking,174,188,1,0
1,out-time_begin,188,202,-1,0
1,blinking,202,216,1,0
1,blinking,216,230,-1,0
1,blinking,230,244,-1,0
1,out-time_late,244,258,1,0
1,out-time_late,258,272,-1,0
1,out-time_late,272,286,-1,0
1,in-time_begin,286,300,1,0
1,blinking,300,314,1,0
1,in-time_begin,314,328,1,0
1,in-time_late,328,342,-1,0
1,out-time_begin,342,356,1,0
1,out-time_begin,356,370,-1,0
1,blinking,370,384,1,0
1,out-time_late,384,398,-1,0
1,in-time_late,398,412,-1,0
1,out-time_begin,412,426,-1,0
1,blinking,426,440,1,0
1,in-time_late,440,454,1,0
1,in-time_begin,454,468,1,0
1,out-time_begin,468,482,1,0
1,blinking,482,496,1,0
1,in-time_late,496,510,1,0
1,blinking,510,524,1,0
1,out-time_late,524,538,-1,0
1,out-time_begin,538,552,1,0
1,in-time_late,552,566,-1,0
1,out-time_late,566,580,1,0
1,in-time_begin,580,594,1,0
1,in-time_late,594,608,-1,0
1,in-time_begin,608,622,1,0
1,out-time_late,622,636,-1,0
1,in-time_late,636,650,1,0
1,blinking,650,664,-1,0
1,out-time_late,664,678,-1,0
1,in-time_begin,678,692,-1,0
1,in-time_late,692,706,-1,0
1,out-time_begin,706,720,-1,0
1,localiser,720,734,,6
1,localiser,734,748,,6
1,localiser,748,762,,6
